Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141265;27825;P5050;0.1792712307258464;4988.22
FFCC141265;2400;P5055;0.05676;136.22
FFCC141265;6601;P5070;0.2488761251239697;1642.83
FFCC141265;1800;P5072;0.099798;179.64
FFCC141265;1200;P5080;0.1122;134.64
FFCC141265;57600;P5081;0.00453;260.93
FFCC141265;9521;P5097;0.3002743826602223;2858.91
FFCC141265;1200;P5101;0.1166579999999999;139.99
FFCC141265;3000;P5102;0.0939419999999999;281.83
FFCC141265;5980;P5103;0.2269581866726499;1357.21
FFCC141265;3127;P5104;0.2683648288660306;839.18
FFCC141265;16036;P5111;9.543439895644813;153038.6
FFCC141265;7512;P5117;0.3398463563626119;2552.93
FFCC141265;4345;P5119;0.2361007361112735;1025.86
FFCC141265;3853;P5130;0.3315820334062;1277.59
FFCC141265;3506;P5132;0.2413674978744904;846.23
FFCC141265;6891;P5138;0.2456045833037895;1692.46
FFCC141265;7490;P5145;0.1977238116396739;1480.95
FFCC141265;14400;P5162;0.07458;1073.95
FFCC141265;3894;P5169;0.1909840746620802;743.69
FFCC141265;13890;P5241;0.0381968742304676;530.55
FFCC141265;7941;P5179;0.6101710192758388;4845.37
FFCC141265;4200;P5180;0.2230919999999999;936.99
FFCC141265;25652;P4021;0.1787095195920906;4584.26
FFCC141265;3600;P4039;0.05082;182.95
FFCC141265;2714;P5052;0.0995095450918896;270.07
FFCC141265;9000;P7003;0.036;324.0
FFCC141265;2400;MP028221;0.0584999999999999;140.4
FFCC141265;1502;P5251;0.1248673765538875;187.55
FFCC141265;9787;P4305;0.1057014516842892;1034.5
FFCC141265;9000;P4383;0.291558;2624.02
FFCC141265;1330;P4464;0.5475922320724315;728.3
FFCC141265;5348;P5083;0.070863794824654;378.98
FFCC141265;43873;P5092;0.0413656465693418;1814.84
FFCC141265;51000;P5154;0.0495;2524.5
FFCC141265;2175;P5181;0.3134064949746421;681.66
FFCC141265;3785;P5187;0.3605412764828735;1364.65
FFCC141265;600;P5289;0.31878;191.27
FFCC141265;2400;MP02958;0.026652;63.96
FFCC141265;1800;MP029143;0.1201199999999999;216.22
FFCC141265;1200;P4162;0.0624;74.88
FFCC141265;720;P4193;0.073596;52.99
FFCC141265;5317;P4207;0.1813197140268748;964.08
FFCC141265;3000;P4216;0.0617099999999999;185.13
FFCC141265;1108;P4231;0.1190332823191375;131.89
FFCC141265;4766;P4237;0.1231612930541495;586.99
FFCC141265;7550;P4250;0.1000709792385924;755.54
FFCC141265;4157;P4270;0.1801184917318576;748.75
FFCC141265;2811;P4278;0.177639053841688;499.34
FFCC141265;3000;P4293;0.1419;425.7
FFCC141265;1200;P4319;0.094596;113.52
FFCC141265;1920;P4322;0.14322;274.98
FFCC141265;8640;P4353;0.2545608240983386;2199.41
FFCC141265;1200;P4354;0.1584;190.08
FFCC141265;9816;P4439;0.6507951835145914;6388.21
FFCC141265;15780;P5131;0.2485408192725669;3921.97
FFCC141265;2400;P4171;0.1346399999999999;323.14
FFCC141265;2583;MP02202;0.1936899007094023;500.3
FFCC141265;166090;P4222;0.151843586229031;25219.7
FFCC141265;600;P4271;0.09174;55.04
FFCC141265;57340;P5069;0.0825691011818742;4734.51
FFCC141265;115887;P5220;0.0573641178588667;6647.76
FFCC141265;1056;P5033;0.1765422289529864;186.43
FFCC141265;9000;P4214;0.095304;857.74
FFCC141265;8699;P4263;0.1559036732285921;1356.21
FFCC141265;1906;MP028222;0.0190599108571847;36.33
FFCC141272;90;P98187;1.7724134281110704;159.52
FFCC141272;60;P9012;0.384;23.04
FFCC141272;73;P9487T;1.4078323462716642;102.77
FFCC141272;114;P9481T;2.5658297087306217;292.5
FFCC141272;68;P9254T;2.0708423190516365;140.82
FFCC141272;30;P9491;0.72;21.6
FFCC141272;77;P9250;1.319066216717388;101.57
FFCC141272;90;P9226T;1.3172829115386344;118.56
FFCC141272;56;P9227T;1.69082786151609;94.69
FFCC141272;41;P9239T;1.8683219358946943;76.6
FFCC141272;93;P9250;1.319066216717388;122.67
FFCC141272;167;P9251T;3.184308677142675;531.78
FFCC141272;65;P9254T;2.0708423190516365;134.6
FFCC141272;190;P9280;1.4611246992995026;277.61
FFCC141272;64;P9300T;1.0835321560515947;69.35
FFCC141272;125;P9301T;2.3299303695735323;291.24
FFCC141272;184;P9331;1.3037822659875544;239.9
FFCC141272;60;P9340T;1.2539999999999998;75.24
FFCC141272;174;P9375;2.5250732437610304;439.36
FFCC141272;30;P9377T;1.2899999999999998;38.7
FFCC141272;99;P9476;1.1553512900428455;114.38
FFCC141272;98;P9481T;2.5658297087306217;251.45
FFCC141272;101;P98101;1.2375276257126906;124.99
FFCC141272;138;P98193;1.7563300439797285;242.37
FFCC141272;119;P9864T;2.18765918279807;260.33
FFCC141272;129;P9875;1.105282852455077;142.58
FFCC141272;54;P9895;0.594;32.08
FFCC141272;130;P9239T;1.8683219358946943;242.88
FFCC141272;30;P9247T;1.056;31.68
FFCC141272;104;P9277;0.8906289499669394;92.63
FFCC141272;60;P9289;0.714;42.84
FFCC141272;90;P9319T;1.086;97.74
FFCC141272;30;P9325;0.4619999999999999;13.86
FFCC141272;57;P9344T;1.427383327583003;81.36
FFCC141272;72;P9117;0.4559999999999999;32.83
FFCC141272;100;P9123;0.5111155880199774;51.11
FFCC141272;102;P9320T;2.4564839706839603;250.56
FFCC141272;64;P9160T;1.125310605842356;72.02
FFCC141272;30;P9232T;1.086;32.58
FFCC141272;85;P9235T;2.0605084615871045;175.14
FFCC141272;127;P9254T;2.0708423190516365;263.0
FFCC141272;169;P9262;1.924432101448776;325.23
FFCC141272;90;P9335T;1.2779999999999998;115.02
FFCC141272;30;P9344T;1.427383327583003;42.82
FFCC141272;186;P9371;2.1162929274585967;393.63
FFCC141272;42;P9814T;0.774;32.51
FFCC141272;30;P98192T;0.63;18.9
FFCC141272;91;P9823;1.0569554125829714;96.18
FFCC141272;135;P9854;1.4074307825410346;190.0
FFCC141272;60;P9874;0.576;34.56
FFCC141272;60;P9876;0.486;29.16
FFCC141272;30;P9892;0.738;22.14
FFCC141272;42;SE9041;3.9;163.8
FFCC141272;42;P9466;0.78;32.76
FFCC141272;95;SE9005;9.412305975501956;894.17
FFCC141274;3103;P6108M;0.0473238617102909;146.85
FFCC141275;5892;MP03513;0.0;0.0
FFCC141276;1282;MP019110;3.210375217139011;4115.7
FFCC141276;1285;MP019450;4.217443628083806;5419.42
FFCC141277;66;MP04998;4.182;276.01
FFCC141277;72;MP04999;3.982381729287752;286.73
FFCC141280;470;MP04209;0.4689599999999999;220.41
FFCC141283;340;MP019401;1.4796;503.06
FFCC141285;42;MP019205;2.466806384204411;103.61
FFCC141289;1412;MP04244;0.5507525449734406;777.66
FFCC141294;1948;MP02953;0.0483650165389998;94.22
FFCC141294;2400;MP02918;0.030036;72.09
FFCC141294;2319;MP02903;0.0195679141290457;45.38
FFCC141294;256;MP02948;0.0432153040788492;11.06
FFCC141301;3116;MP02829;0.421428699676904;1313.17
FFCC141311;180660;MP03112;0.01272;2298.0
FFCC141313;24422;P6229;0.0370924702568616;905.87
FFCC141313;2580;P6095;0.02328;60.06
FFCC141313;7064;P6115;0.1353499440204012;956.11
FFCC141313;2400;P2064;0.03138;75.31
FFCC141342;628;P5284;0.2685695209646583;168.66
FFCC141358;9600;P5419;0.0276;264.96
FFCC141358;3000;P4756;0.0768;230.4
FFCC141376;553;MP019110;3.210375217139011;1775.34
FFCC141376;494;MP019423;1.098;542.41
FFCC141376;634;MP019432;2.5437360265180224;1612.73
FFCC141388;1559;MP024119;0.221534059015923;345.37
FFCC141388;6000;MP02479;0.1209539999999999;725.72
FFCC141389;2;MP019110;3.210375217139011;6.42
FFCC141428;551;MP019604;1.4759506917604457;813.25
FFCC141429;1975;MP019602;2.451214957596396;4841.15
FFCC141430;42300;MP02701;0.147822;6252.87
FFCC141431;21480;MP03306;0.0100679999999999;216.26
FFCC141432;484;MP019307;3.74993522153668;1814.97
FFCC141433;471017;MP03501;0.0012586322351189;592.84
FFCC141434;156;MP04997;6.619198519496932;1032.59
FFCC141435;33523;DEP02455;0.1877267838837645;6293.16
FFCC141435;13766;DEP02459;0.2409071985651515;3316.33
FFCC141436;60;P9160T;1.5095101026639626;90.57
FFCC141436;156;P9183;1.515652355543305;236.44
FFCC141436;48;P9237T;1.878305185157652;90.16
FFCC141436;36;P9238T;1.122;40.39
FFCC141436;95;P9239T;3.346033217010231;317.87
FFCC141436;174;P9250;2.6944926857767517;468.84
FFCC141436;120;P9254T;2.8641566308465447;343.7
